,Unnamed: 0,Star_name,Distance,Mass,Radius
4173,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4174,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4175,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4176,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4177,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4178,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4179,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4180,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4181,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4182,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4183,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4184,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4185,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4186,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4187,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4188,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4189,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4190,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4191,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4192,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4193,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4194,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4195,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
4196,78.0,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
4197,107.0,DENIS-P J1058.7−1548,49,0.061093632,0.102763
